Feature,Mean_SHAP,Rank
Age,0.1181174570259554,1
NumOfProducts,0.06599687808100066,2
EngagementProduct,0.0438248909446065,3
Geography_Germany,0.033940798057306064,4
IsActiveMember,0.03263783989294591,5
Gender_Female,0.018229771900499035,6
Balance,0.017868412635050426,7
Gender_Male,0.01676603980655585,8
AgeTenureInteraction,0.016361757090392805,9
ProductDensity,0.015221207975321793,10
Geography_France,0.014558882023930167,11
BalanceToSalary,0.013680793737226452,12
IsZeroBalance,0.011067241768968644,13
Tenure,0.008232818452535118,14
CreditScore,0.006083663396283909,15
EstimatedSalary,0.006021088049464821,16
Geography_Spain,0.003552914843495957,17
CreditScoreBucket_Poor,0.0018819881918907602,18
CreditScoreBucket_Good,0.0016591477563523923,19
HasCrCard,0.001530317099129041,20
CreditScoreBucket_Fair,0.001507912131720506,21
CreditScoreBucket_VGood,0.0004846512399301549,22
CreditScoreBucket_Excellent,0.0003530355286335329,23
